,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31
operatingCashFlowPerShare,3.9630398410867387,3.474691459483475,2.809607957578344,2.669494971513533,1.90139839579996,2.574930358108353,1.9579655273676109,1.4759584929822844,1.532236177700729,0.7779138423741853,0.32022956149825976,0.6807305006275375,2.05867149128178,0.5913397068437286,1.0389150755477774,0.7750640814650891,1.0475357353041592,0.37911001362746805,0.14467149564044504,0.7108520662576565,0.35117637460587453,0.6180773153714497,0.3419458737949579,0.535132481737416,-0.1198842891514014,0.723769060611262,0.40925351692276896,0.42434701898909666,0.4162235692161003,0.3673677584597686,0.313103687786243,0.42814351761411734,0.27240563478109875,0.18827326519634213,0.6377952755905512,0.2126514131897712,0.5427728613569321
freeCashFlowPerShare,3.498799797309459,3.123575154735812,2.41298640460148,2.1628320809522656,1.3526492264238688,2.109644017088774,1.5446551503652146,0.9944123533620696,0.9968303316300523,0.39977630703374334,0.028367865754530677,0.38891093505403385,1.6201652319280377,0.2246647103862196,0.6495264330590041,0.40123543679805174,0.7636294246111199,0.10360063435465343,-0.11309636762368123,0.448699635803662,0.10226316921271653,0.3294550698596055,0.10828653985916853,0.33553834465284255,-0.3277782082848353,0.5827863241196394,0.08685247037087226,0.1539360341080198,0.21883752222189712,0.11286926700093335,-0.0016279221202057693,0.03418636452432116,-0.012480736254910899,-0.006993006993006993,0.2874015748031496,-0.19246298788694483,0.17404129793510326
cashPerShare,3.903078077775958,4.262848657640641,3.39591807937023,3.8356521644603006,4.776797440428822,4.350744398183079,3.668058531526082,3.0307764583065553,2.6633289784068466,2.5041468542073044,3.4139635363817877,0.6485485298446652,0.5869829401524657,0.16308993790999646,0.20287475491011717,0.14141904739603464,0.1346591196963033,0.1428777979286704,0.10735543525699691,0.20274347530425593,0.1463046953609085,0.1088994043622165,0.10513138745469525,0.26998178436499115,0.675731658554816,0.023886213819406484,0.020172872375759605,0.030137223105827133,0.042946250321280494,0.03255844240411539,0.019535065442469232,0.017364502615528205,0.02604675392329231,0.013448090371167294,0.023622047244094488,0.034320323014804845,0.11135693215339233
payoutRatio,0.3492096078833915,0.4601333719918817,0.40324324324324323,0.29288608734804145,0.32681281618887015,0.2578866768759571,0.23966065747614,0.26179018286814243,0.2510312315851503,0.2091997479521109,0.09061171082760877,0.22112802148612354,0.26322263222632225,0.27228327228327226,0.2437641723356009,0.2627450980392157,0.40860215053763443,0.5141242937853108,0.3218390804597701,0.2780796572207615,0.8494690387532754,0.3939098578294626,0.26335392013577863,0.24838731428828303,0.08240915296106091,0.2110613449103444,0.19749890088417763,0.18175318674037003,0.28586156802099444,-0.4913294797687861,1.96,0.32459016393442625,-2.0,0.5421052631578948,0.5706521739130435,0.35172413793103446,0.1383495145631068
operatingCashFlowSalesRatio,0.18115798694509594,0.19414223051151866,0.15243759815551175,0.14081370180996894,0.10891981179297226,0.16627573625228043,0.13577764636309875,0.11201188455008489,0.12981706750858946,0.074150466663229,0.03431745103770827,0.08379775733566106,0.13437107707757973,0.046249294980259446,0.08239263007655379,0.06542358765557767,0.11052569263556714,0.04028794386304519,0.016463056118115896,0.07839289360833163,0.04328518463179621,0.06952549992187156,0.04619636075325153,0.08136499816362584,-0.031075579545631903,0.2484354058472106,0.07477876965502955,0.08698143345763447,0.09661939742182984,0.06470419573736022,0.06559054223030579,0.08436698032506416,0.05141862132541227,0.034469174709474096,0.10016488046166529,0.03469096497969042,0.0835509138381201
freeCashFlowOperatingCashFlowRatio,0.8828575885197317,0.8989503647037893,0.8588338448049101,0.810202717754511,0.7113970588235294,0.8193013882669055,0.7889082462253194,0.6737400530503979,0.6505722460658083,0.5139082058414465,0.08858603066439523,0.5713141025641025,0.7869955156950673,0.3799249530956848,0.6251968503937008,0.5176803394625177,0.7289769683985002,0.2732732732732733,-0.7817460317460317,0.6312138025649708,0.29120173396483906,0.5330321331427781,0.3166774280893962,0.6270192075865949,2.734121464997682,0.8052103299738247,0.2122216835763011,0.36275978673005616,0.5257691740860504,0.3072378138847858,-0.005199306759098787,0.07984790874524715,-0.045816733067729085,-0.037142857142857144,0.4506172839506173,-0.9050632911392406,0.32065217391304346
cashFlowCoverageRatios,2.9273972602739726,3.8082655826558267,1.606338028169014,,0.7953216374269005,1.3800988875154512,1.383132530120482,1.179177837354781,1.457008858780615,0.5900697578990562,0.12716637781629117,0.4781609195402299,1.0568720379146919,0.3183990442054958,0.48203441295546556,0.32209567198177674,1.1027761370348494,0.23692636072572038,0.09147005444646097,0.45928097146617214,0.12244647205832844,0.2649274353360753,0.1330386832187985,0.5496348430414041,-0.24290084645558455,0.775132000415372,0.5897555023459318,0.6890778112942018,0.5627125093296779,0.2714514835605453,0.31685886875343217,0.483159828536436,0.3163201008191556,0.2521613832853026,0.7986852917009039,0.22652329749103942,0.8297632468996617
shortTermCoverageRatios,94.27941176470588,82.66176470588235,67.08823529411765,,43.52,62.02777777777778,26.697674418604652,19.26277372262774,19.690140845070424,7.731182795698925,3.1559139784946235,6.709677419354839,12.682464454976303,6.091428571428572,12.211538461538462,20.492753623188406,27.057971014492754,7.744186046511628,0.23908918406072105,9.867791962985176,3.0103914934751086,7.796208104951029,4.9860837054730505,16.128321451717433,-4.6304114490161,16.2651692926584,23.416987634299616,16.467677463818056,8.001040438371367,5.2890625,9.616666666666667,10.808219178082192,12.24390243902439,43.75,162.0,0.5683453237410072,6.571428571428571
capitalExpenditureCoverageRatio,-8.536617842876165,-9.89612676056338,-7.083850931677019,-5.268779342723005,-3.464968152866242,-5.534076827757125,-4.7372764786795045,-3.065040650406504,-2.8618219037871033,-2.0572246065808297,-1.097196261682243,-2.3327102803738318,-4.6947368421052635,-1.6127080181543116,-2.668067226890756,-2.0733137829912023,-3.6897233201581026,-1.3760330578512396,-0.5612472160356348,-2.7115982294217367,-1.4108386658361176,-2.141474972850232,-1.4634376809827172,-2.681103210514975,0.5766608742146772,-5.133742461115226,-1.2693926440368788,-1.569266940748427,-2.1086777690437453,-1.443496801705757,-0.9948275862068966,-1.0867768595041323,-0.9561904761904761,-0.9641873278236914,-1.8202247191011236,-0.5249169435215947,-1.472
dividendPaidAndCapexCoverageRatio,6.748421052631579,5.516192345436703,5.379716981132075,9.997772828507795,120.88888888888889,127.6,-70.28571428571429,-8.324921135646688,-5.074410163339383,-3.9182561307901906,-2.2751937984496124,-4.333333333333333,-7.51685393258427,-2.4337899543378994,-3.817635270541082,-2.9397089397089395,-5.908227848101266,-2.205298013245033,-0.896797153024911,-4.084805277718663,-2.166528979520849,-3.0130573690790388,-2.219135659810492,-4.4452515629651685,0.8036263156260672,-8.087510938867359,-1.464600872299422,-1.8181859686501294,-2.713949603557396,-1.7630208333333333,-1.1970954356846473,-1.2583732057416268,-1.1811764705882353,-1.3461538461538463,-2.265734265734266,-0.632,-1.6613995485327313
